Component,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane
Carbon Dioxide,0,-0.019997,0.1,0.1298,0.135,0.1298,0.1298,0.125,0.125,0.125,0.1199
Nitrogen,-0.019997,0,0.0359999,0.05,0.079998,0.094999,0.09,0.094999,0.1,0.149,0.1439
Methane,0.1,0.0359999,0,0.0022413,0.0068288,0.0131134,0.0123047,0.0176275,0.0179254,0.0234741,0.0288643
Ethane,0.1298,0.05,0.0022413,0,0.0012579,0.0045736,0.0040964,0.0074133,0.0076095,0.0114138,0.0153243
Propane,0.135,0.079998,0.0068288,0.0012579,0,0.0010406,0.0008189,0.0025834,0.0027005,0.005142,0.0078874
iButane,0.1298,0.094999,0.0131134,0.0045736,0.0010406,0,0.0000133,0.0003462,0.00039,0.0018663,0.0036464
nButane,0.1298,0.09,0.0123047,0.0040964,0.0008189,0.0000133,0,0.0004951,0.0005472,0.0018663,0.0036464
iPentane,0.125,0.094999,0.0176275,0.0074133,0.0025834,0.0003462,0.0004951,0,0.0000013,0.00044,0.0014592
nPentane,0.125,0.1,0.0179254,0.0076095,0.0027005,0.00039,0.0005472,0.0000013,0,0.0003934,0.0013733
nHexane,0.125,0.149,0.0234741,0.0114138,0.005142,0.0018663,0.0018663,0.00044,0.0003934,0,0.0002972
nHeptane,0.1199,0.1439,0.0288643,0.0153243,0.0078874,0.0036464,0.0036464,0.0014592,0.0013733,0.0002972,0