Mixture No.,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane
1,,,0.1,0.9,,,,,,,
2,0.95,0.05,,,,,,,,,
3,,,,0.429,,,0.373,,,,0.198
4,,,,0.726,,,0.171,,,,0.103
5,,,,0.514,,,0.412,,,,0.074
6,,,,0.801,,,,0.064,,,0.135
7,,,,0.612,,,,0.271,,,0.117
8,,,,0.615,,,,0.296,,,0.089
9,,0.0465,0.453,,0.5005,,,,,,
10,,,0.193,0.47,,,0.337,,,,
11,,,0.391,0.354,,,0.255,,,,
12,,,0.04,0.821,,,0.139,,,,
13,,,0.007,0.879,,,0.114,,,,
14,,,0.461,0.443,,,,,0.095,,
15,,,0.196,0.758,,,,,0.045,,
16,,,,0.996,0.001,,0.003,,,,
17,,,,0.99,0.004,,0.006,,,,
18,,,,0.98,0.016,,0.004,,,,
19,,,,0.97,0.027,,0.003,,,,
20,,,,0.3414,0.3421,,,,0.3165,,
21,,,,,0.3276,,0.3398,,0.3326,,
22,,,,,0.201,,0.399,,0.4,,
23,,,,,0.201,,0.298,,0.501,,
24,,,,,0.198,,0.106,,0.696,,
25,,,,,,,0.6449,,0.2359,0.1192,
26,,,0.833,0.13,0.035,,,,,,
27,,,0.8,0.039,0.161,,,,,,
28,,0.049,0.4345,0.0835,0.433,,,,,,
29,,,,0.6168,,,0.1376,0.0726,,,0.173
30,,,,0.2542,0.2547,,0.2554,,0.2357,,
31,,,,,0.4858,,0.3316,,0.1213,0.0613,
32,,0.033,0.91,0.056,0.0012,,,,,,
33,,0.015,0.959,0.026,0.0001,,,,,,
34,,0.016,0.95,0.026,0.0078,,,,,,
35,,,,0.3977,0.2926,,0.1997,,0.0713,0.0369,
36,,,0.2019,0.2029,0.2033,,0.2038,,0.1881,,
37,,0.016,0.945,0.026,0.0081,,0.0052,,,,
38,,,0.1015,0.3573,0.2629,,0.1794,,0.0657,0.0332,
39,,0.022,0.316,0.388,0.223,,0.043,,0.008,,
40,,0.014,0.943,0.027,0.0074,,0.0049,,0.001,0.0027,
41,0.0109,0.0884,0.8286,0.0401,0.0174,0.003,0.0055,0.0019,0.0012,0.0014,0.0006
42,0.002,0.24,0.7364,0.012,0.0053,0.001,0.0015,0.0005,0.0004,0.00004,0.0005
43,0.003,0.113,0.858,0.015,0.006,0.0012,0.0018,0.0006,0.0004,0.0004,0.0006
44,0.01,0.1611,0.7625,0.0369,0.016,0.0028,0.0051,0.0018,0.0011,0.0012,0.0015