Mixture No.,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane
1,,,0.1,0.9,,,,,,,
2,0.95,0.05,,,,,,,,,
3,,,,0.429,,,0.373,,,,0.198
4,,,,0.801,,,,0.064,,,0.135
5,,0.0465,0.453,,0.5005,,,,,,
6,,,0.193,0.47,,,0.337,,,,
7,,,0.461,0.443,,,,,0.095,,
8,,,,0.996,0.001,,0.003,,,,
9,,,,0.3414,0.3421,,,,0.3165,,
10,,,,,0.3276,,0.3398,,0.3326,,
11,,,,,,,0.6449,,0.2359,0.1192,
12,,,0.833,0.13,0.035,,,,,,
13,,0.049,0.4345,0.0835,0.433,,,,,,
14,,,,0.6168,,,0.1376,0.0726,,,0.173
15,,,,0.2542,0.2547,,0.2554,,0.2357,,
16,,,,,0.4858,,0.3316,,0.1213,0.0613,
17,,,,0.3977,0.2926,,0.1997,,0.0713,0.0369,
18,,,0.2019,0.2029,0.2033,,0.2038,,0.1881,,
19,,0.016,0.945,0.026,0.0081,,0.0052,,,,
20,,,0.1015,0.3573,0.2629,,0.1794,,0.0657,0.0332,
21,,0.022,0.316,0.388,0.223,,0.043,,0.008,,
22,,0.014,0.943,0.027,0.0074,,0.0049,,0.001,0.0027,
23,0.0109,0.0884,0.8286,0.0401,0.0174,0.003,0.0055,0.0019,0.0012,0.0014,0.0006
24,0.0109,0.0884,0.8286,0.0401,0.0174,0.003,0.0055,0.0019,0.0012,0.0014,0.0006