Component,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5)
CO2,0,0.1200,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500
CH4,0.1200,0,0.0022413,0.0068288,0.01270905,0.01777645,0.0288643,0,0,0,0,0
C2,0.1500,0.0022413,0,0.0012579,0.004335,0.0075114,0.0114138,0,0,0,0,0
C3,0.1500,0.0068288,0.0012579,0,0.00092975,0.00264195,0.005142,0,0,0,0,0
C4,0.1500,0.01270905,0.004335,0.00092975,0,0.000444625,0.0018663,0,0,0,0,0
C5,0.1500,0.01777645,0.0075114,0.00264195,0.000444625,0,0.0004167,0,0,0,0,0
C6,0.1500,0.0288643,0.0114138,0.005142,0.0018663,0.0004167,0,0,0,0,0,0
C7+(1),0.1500,0,0,0,0,0,0,0,0,0,0,0
C7+(2),0.1500,0,0,0,0,0,0,0,0,0,0,0
C7+(3),0.1500,0,0,0,0,0,0,0,0,0,0,0
C7+(4),0.1500,0,0,0,0,0,0,0,0,0,0,0
C7+(5),0.1500,0,0,0,0,0,0,0,0,0,0,0